face_x,face_y,face_width,face_height,face_cam_x,face_cam_y,face_cam_z,torso_x,torso_y,torso_width,torso_height,torso_cam_x,torso_cam_y,torso_cam_z,person_x,person_y,person_width,person_height,person_cam_x,person_cam_y,person_cam_z,mean_cam_z
-1.0,-1.0,-1.0,-1.0,,,,322.0,169.0,308.0,194.0,0.4861484687621158,0.06999158273607063,1.641,-1.0,-1.0,-1.0,-1.0,,,,1.641
-1.0,-1.0,-1.0,-1.0,,,,409.0,172.0,289.0,210.0,0.7796684102018715,0.11171451027942432,1.795,-1.0,-1.0,-1.0,-1.0,,,,1.795
454.0,150.0,67.0,55.0,0.6221656812221799,-0.22802262718086455,1.969,388.0,164.0,301.0,177.0,0.7888275049228941,0.034317137433155204,1.936,-1.0,-1.0,-1.0,-1.0,,,,1.9525
465.0,158.0,60.0,45.0,0.694021309927004,-0.2320870221378676,2.101,-1.0,-1.0,-1.0,-1.0,,,,401.0,139.0,339.0,170.0,0.9887279138330708,-0.06833241026030931,2.127,2.114
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,433.0,140.0,337.0,163.0,1.127807907017605,-0.08119202084671896,2.1670000000000003,2.1670000000000003
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,394.0,149.0,329.0,152.0,0.9429490260083364,-0.06454543974702197,2.127,2.127
504.0,165.0,55.0,45.0,0.5137613697470105,-0.1275006419119769,1.301,-1.0,-1.0,-1.0,-1.0,,,,438.0,143.0,335.0,177.0,0.6811585914222908,-0.025385185292657098,1.291,1.2959999999999998
-1.0,-1.0,-1.0,-1.0,,,,454.0,169.0,302.0,180.0,0.6067640434822886,0.034717109243281426,1.15,-1.0,-1.0,-1.0,-1.0,,,,1.15
504.0,89.0,100.0,98.0,0.4932847709005658,-0.2095098401268528,1.131,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.131
466.0,107.0,94.0,89.0,0.4141042315900775,-0.1851152780103363,1.142,375.0,150.0,328.0,253.0,0.4509888562396156,0.06662258682959883,1.102,-1.0,-1.0,-1.0,-1.0,,,,1.122
-1.0,-1.0,-1.0,-1.0,,,,275.0,150.0,319.0,249.0,0.2564901278619368,0.066055340848195,1.161,-1.0,-1.0,-1.0,-1.0,,,,1.161
-1.0,-1.0,-1.0,-1.0,,,,194.0,141.0,323.0,269.0,0.10925857864728364,0.08091370732487943,1.379,-1.0,-1.0,-1.0,-1.0,,,,1.379
